timestamp,player,tournament,surface,betfair_odds,our_prob,implied_prob,edge,ev,base_units,odds_category,odds_cap,edge_override,final_units,stake_tier,is_value,notes
2026-01-19T20:24:07.934206,Test Player 1,Test Tournament,Hard,1.5,72.7,66.7,6.0,9.0,1,short,3,False,1.0,standard,True,
2026-01-19T20:25:19.957989,Pedro Boscardin Dias,Itajai Challenger 2026,Grass,1.82,61.6,54.9,6.7,12.1,1,short,3,False,1.0,standard,True,
2026-01-19T20:25:20.074094,Thiago Monteiro,Itajai Challenger 2026,Grass,1.48,74.7,67.6,7.1,10.6,1,short,3,False,1.0,standard,True,
2026-01-19T20:25:20.192203,Igor Marcondes,Itajai Challenger 2026,Grass,2.1,63.3,47.6,15.7,32.9,3,medium,3,False,3.0,strong,True,
2026-01-19T20:25:20.361357,Cristian Garin,Men's Australian Open 2026,Hard,2.66,53.0,37.6,15.4,41.0,3,medium,3,False,3.0,strong,True,
2026-01-19T20:25:20.542521,Viktorija Golubic,Ladies Australian Open 2026,Hard,1.99,56.8,50.3,6.5,13.0,1,short,3,False,1.0,standard,True,
2026-01-19T20:25:31.416546,Pedro Boscardin Dias,Itajai Challenger 2026,Grass,1.82,61.6,54.9,6.7,12.1,1,short,3,False,1.0,standard,True,
2026-01-19T20:25:31.538658,Thiago Monteiro,Itajai Challenger 2026,Grass,1.48,74.7,67.6,7.1,10.6,1,short,3,False,1.0,standard,True,
2026-01-19T20:25:31.658837,Igor Marcondes,Itajai Challenger 2026,Grass,2.1,63.3,47.6,15.7,32.9,3,medium,3,False,3.0,strong,True,
2026-01-19T20:25:31.834076,Cristian Garin,Men's Australian Open 2026,Hard,2.66,53.0,37.6,15.4,41.0,3,medium,3,False,3.0,strong,True,
2026-01-19T20:25:32.000598,Viktorija Golubic,Ladies Australian Open 2026,Hard,1.99,56.8,50.3,6.5,13.0,1,short,3,False,1.0,standard,True,
2026-01-19T20:25:32.189557,Carlos Taberner,Men's Australian Open 2026,Hard,10.5,11.0,9.5,1.5,15.5,0,longshot,1,False,0.0,no_bet,True,longshot_warning
2026-01-19T20:25:32.517855,Panna Udvardy,Ladies Australian Open 2026,Hard,7.6,16.3,13.2,3.1,23.9,0,longshot,1,False,0.0,no_bet,True,longshot_warning
2026-01-19T20:25:32.706027,Sara Bejlek,Ladies Australian Open 2026,Hard,2.38,60.6,42.0,18.6,44.2,3,medium,3,False,3.0,strong,True,
2026-01-19T20:25:32.997240,Leylah Fernandez,Ladies Australian Open 2026,Hard,1.35,81.1,74.1,7.0,9.5,1,short,3,False,1.0,standard,True,
2026-01-19T20:25:33.128657,Taylah Preston,Ladies Australian Open 2026,Hard,2.84,45.7,35.2,10.5,29.8,2,medium,3,False,2.0,confident,True,
2026-01-19T20:25:33.363382,Oleksandra Oliynykova,Ladies Australian Open 2026,Hard,19.0,13.0,5.3,7.7,147.0,1,longshot,1,False,1.0,standard,True,longshot_warning
2026-01-19T20:25:33.528534,Lorenzo Musetti,Men's Australian Open 2026,Hard,1.27,83.1,78.7,4.4,5.5,0,short,3,False,0.0,no_bet,True,
2026-01-19T20:25:33.695688,Ethan Quinn,Men's Australian Open 2026,Hard,2.2,53.7,45.5,8.2,18.1,1,medium,3,False,1.0,standard,True,
2026-01-19T20:25:34.063021,Alex Michelsen,Men's Australian Open 2026,Hard,2.5,47.1,40.0,7.1,17.7,1,medium,3,False,1.0,standard,True,
2026-01-19T20:25:34.229172,Eliot Spizzirri,Men's Australian Open 2026,Hard,2.68,46.9,37.3,9.6,25.7,1,medium,3,False,1.0,standard,True,
